component,explained_variance_ratio,cumulative_explained_variance
PC1,0.07287718274752722,0.07287718274752722
PC2,0.05571889374054973,0.12859607648807694
PC3,0.0409582139427639,0.16955429043084086
PC4,0.03825892350072666,0.20781321393156751
PC5,0.030055118589422367,0.23786833252098988
PC6,0.025746579210639473,0.2636149117316294
PC7,0.02341370194462594,0.2870286136762553
PC8,0.02316266004280863,0.31019127371906396
PC9,0.020728804455853865,0.3309200781749178
PC10,0.018659734775320305,0.3495798129502381
PC11,0.01800815982059046,0.36758797277082855
PC12,0.017272035722666612,0.38486000849349516
PC13,0.015514916873740667,0.40037492536723585
PC14,0.01527929104100054,0.4156542164082364
PC15,0.014194166405113605,0.42984838281335
PC16,0.01338573538771834,0.4432341182010684
PC17,0.012926626723315175,0.4561607449243836
PC18,0.01244433639345047,0.46860508131783407
PC19,0.012177662120132092,0.4807827434379662
PC20,0.011723211771539226,0.4925059552095054
PC21,0.011307127683518818,0.5038130828930242
PC22,0.011072811103718149,0.5148858939967423
PC23,0.010792941046048308,0.5256788350427907
PC24,0.010644016597518175,0.5363228516403088
PC25,0.010322209135555295,0.5466450607758641
PC26,0.010005119970287007,0.556650180746151
PC27,0.009722353822300137,0.5663725345684512
PC28,0.009621572720027885,0.575994107288479
PC29,0.009372187970289204,0.5853662952587682
PC30,0.009016966219321779,0.59438326147809
PC31,0.00889476844352171,0.6032780299216116
PC32,0.008743704446157295,0.6120217343677689
PC33,0.008555679624366258,0.6205774139921351
PC34,0.008300788483091733,0.6288782024752267
PC35,0.008150539627564547,0.6370287421027913
PC36,0.00782105403883928,0.6448497961416305
PC37,0.007647149494171692,0.6524969456358022
PC38,0.007520590827234418,0.6600175364630366
PC39,0.007374941116950883,0.6673924775799875
PC40,0.007181713142386199,0.6745741907223738
PC41,0.007039977617142802,0.6816141683395166
PC42,0.0068959160563004315,0.6885100843958171
PC43,0.006783411013476252,0.6952934954092933
PC44,0.006706075782369604,0.7019995711916629
PC45,0.006641739627197008,0.70864131081886
PC46,0.006330572948201658,0.7149718837670616
PC47,0.006182765428159238,0.7211546491952208
PC48,0.00609099048286428,0.7272456396780851
PC49,0.005981043192119163,0.7332266828702042
PC50,0.00586777194759584,0.7390944548178
PC51,0.005762044660626318,0.7448564994784264
PC52,0.0056422900164814155,0.7504987894949078
PC53,0.005580497352614579,0.7560792868475223
PC54,0.005368899163017587,0.76144818601054
PC55,0.005279126458768581,0.7667273124693086
PC56,0.005231819402874527,0.7719591318721831
PC57,0.0050913449899602494,0.7770504768621433
PC58,0.004970426701551622,0.7820209035636949
PC59,0.00491878322273374,0.7869396867864287
PC60,0.004814694103794993,0.7917543808902237
PC61,0.004751001442031927,0.7965053823322555
PC62,0.004626914894643521,0.801132297226899
PC63,0.004556483944270352,0.8056887811711694
PC64,0.004544918241523922,0.8102336994126933
PC65,0.004456537656537223,0.8146902370692305
PC66,0.004397622921228419,0.819087859990459
PC67,0.004279177646098599,0.8233670376365576
PC68,0.004226701979111596,0.8275937396156692
PC69,0.0041533155558434245,0.8317470551715126
PC70,0.003983388026009676,0.8357304431975223
PC71,0.003975351693093451,0.8397057948906158
PC72,0.003886664344797415,0.8435924592354133
PC73,0.00378935528011692,0.8473818145155302
PC74,0.0036906196177814293,0.8510724341333116
PC75,0.0036277818072230753,0.8547002159405347
PC76,0.0035564941649306506,0.8582567101054653
PC77,0.003532516441655775,0.8617892265471211
PC78,0.003436751413172364,0.8652259779602934
PC79,0.0033924083229205254,0.868618386283214
PC80,0.0032769117233091187,0.8718952980065231
PC81,0.003236781086083054,0.8751320790926062
PC82,0.003214549912859255,0.8783466290054655
PC83,0.0031924404525302025,0.8815390694579956
PC84,0.0031392035720128756,0.8846782730300086
PC85,0.003104347308554115,0.8877826203385627
PC86,0.0029885747598927975,0.8907711950984555
PC87,0.0029425697227526003,0.8937137648212081
PC88,0.0028893704212072705,0.8966031352424154
PC89,0.0028565666867613,0.8994597019291767
PC90,0.002790397333541918,0.9022500992627186
PC91,0.002725808321410935,0.9049759075841295
PC92,0.0026950303483003492,0.9076709379324298
PC93,0.0026308540197307237,0.9103017919521605
PC94,0.0025887035884647313,0.9128904955406253
PC95,0.0025342403859819436,0.9154247359266072
PC96,0.0024943196112380593,0.9179190555378453
PC97,0.0024359295791850878,0.9203549851170303
PC98,0.0023877598201723364,0.9227427449372027
PC99,0.0023579426098694722,0.9251006875470721
PC100,0.0022768535427270605,0.9273775410897992
PC101,0.0022560019634131016,0.9296335430532123
PC102,0.0022137870108115344,0.9318473300640239
PC103,0.0021725282410259097,0.9340198583050497
PC104,0.002132651469649013,0.9361525097746988
PC105,0.00208946145521732,0.938241971229916
PC106,0.002056064864110829,0.9402980360940268
PC107,0.002020785163511132,0.942318821257538
PC108,0.0020101973461205225,0.9443290186036585
PC109,0.001971572168347278,0.9463005907720058
PC110,0.0019108965921065845,0.9482114873641124
PC111,0.001821909805519378,0.9500333971696318
