component,rank,asset,loading,direction
PC1,1,300476 CH Equity,18.430373978706363,positive
PC1,2,300502 CH Equity,17.81273692927966,positive
PC1,3,300394 CH Equity,16.93596003502952,positive
PC1,4,300308 CH Equity,16.49202011964973,positive
PC1,5,688313 CH Equity,15.261950077463096,positive
PC1,6,002463 CH Equity,13.848057370461955,positive
PC1,7,300620 CH Equity,13.02654471312867,positive
PC1,8,688195 CH Equity,12.497286539319637,positive
PC1,9,603083 CH Equity,12.29473604362698,positive
PC1,10,002281 CH Equity,11.734604532685522,positive
PC2,1,300308 CH Equity,15.181405729060241,positive
PC2,2,688031 CH Equity,-14.809092346059987,negative
PC2,3,300502 CH Equity,14.621040794449693,positive
PC2,4,300394 CH Equity,13.829262825494464,positive
PC2,5,002463 CH Equity,12.757485143167118,positive
PC2,6,300476 CH Equity,11.43693796308907,positive
PC2,7,300229 CH Equity,-10.862816007992755,negative
PC2,8,601138 CH Equity,10.531823162733714,positive
PC2,9,601899 CH Equity,10.173745973153672,positive
PC2,10,300170 CH Equity,-9.827152258195367,negative
PC3,1,9880 HK Equity,41.222726872374466,positive
PC3,2,9988 HK Equity,19.895696801334562,positive
PC3,3,3690 HK Equity,18.569267167971145,positive
PC3,4,1810 HK Equity,17.990645448536508,positive
PC3,5,601689 CH Equity,6.240766262044569,positive
PC3,6,002050 CH Equity,6.013310178444412,positive
PC3,7,688017 CH Equity,5.941547445502675,positive
PC3,8,603662 CH Equity,5.616010513600154,positive
PC3,9,300946 CH Equity,5.453112309559624,positive
PC3,10,300918 CH Equity,4.920277209787884,positive
PC4,1,300118 CH Equity,12.693738092450786,positive
PC4,2,688503 CH Equity,12.297467725880699,positive
PC4,3,688599 CH Equity,11.463930782694014,positive
PC4,4,300842 CH Equity,11.072783528054563,positive
PC4,5,300274 CH Equity,10.81605851925506,positive
PC4,6,300724 CH Equity,9.972112995742709,positive
PC4,7,002129 CH Equity,9.874625140007538,positive
PC4,8,603879 CH Equity,-9.688890998978982,negative
PC4,9,688556 CH Equity,9.671090694782917,positive
PC4,10,300393 CH Equity,9.536603589023539,positive
PC5,1,603879 CH Equity,14.081258100752654,positive
PC5,2,300260 CH Equity,-12.528351285392041,negative
PC5,3,603778 CH Equity,11.336727442692881,positive
PC5,4,002829 CH Equity,10.236598376213534,positive
PC5,5,688256 CH Equity,-10.183090608512225,negative
PC5,6,920179 CH Equity,-9.550590511828712,negative
PC5,7,688409 CH Equity,-9.459004881633577,negative
PC5,8,002413 CH Equity,9.158653861728856,positive
PC5,9,688981 CH Equity,-8.909982021810839,negative
PC5,10,300346 CH Equity,-8.749971409915945,negative
PC6,1,3690 HK Equity,12.369154821336984,positive
PC6,2,920493 CH Equity,11.765756379879965,positive
PC6,3,688017 CH Equity,-10.056667948608702,negative
PC6,4,300946 CH Equity,-10.03342269363825,negative
PC6,5,1810 HK Equity,10.022547358741036,positive
PC6,6,000737 CH Equity,-9.633633256369531,negative
PC6,7,9988 HK Equity,9.08075731869421,positive
PC6,8,920640 CH Equity,8.427336223337694,positive
PC6,9,603662 CH Equity,-8.423270623307818,negative
PC6,10,300952 CH Equity,-8.091441929231237,negative
PC7,1,9880 HK Equity,17.338633963004447,positive
PC7,2,300229 CH Equity,-9.575919091142504,negative
PC7,3,920493 CH Equity,-9.207143863219182,negative
PC7,4,300058 CH Equity,-8.82786963992517,negative
PC7,5,002829 CH Equity,7.956356498765726,positive
PC7,6,300442 CH Equity,-7.628404966832288,negative
PC7,7,300418 CH Equity,-7.552134694495808,negative
PC7,8,000547 CH Equity,7.536507920527116,positive
PC7,9,300170 CH Equity,-7.471261509842892,negative
PC7,10,688031 CH Equity,-7.27261869434961,negative
PC8,1,002716 CH Equity,-12.367449818934121,negative
PC8,2,000737 CH Equity,-12.16725285843658,negative
PC8,3,002050 CH Equity,9.330485690272587,positive
PC8,4,601689 CH Equity,8.119021482398654,positive
PC8,5,688195 CH Equity,-7.955165457373227,negative
PC8,6,688228 CH Equity,-7.894930412342394,negative
PC8,7,603879 CH Equity,-7.838878367800145,negative
PC8,8,300433 CH Equity,7.592372435144967,positive
PC8,9,688313 CH Equity,-7.547469834321092,negative
