feature_count,avg_lifetime,total_persistence,label,dimension,window_index,start_date,end_date,axis_value
160,0.3017962201032788,48.2873952165246,2024-01-02_2024-02-05,0,0,2024-01-02,2024-02-05,2024-02-05
160,0.3013697001617402,48.21915202587843,2024-01-09_2024-02-12,0,1,2024-01-09,2024-02-12,2024-02-12
160,0.29717017952352764,47.54722872376442,2024-01-16_2024-02-19,0,2,2024-01-16,2024-02-19,2024-02-19
160,0.28929929330479354,46.287886928766966,2024-01-23_2024-02-26,0,3,2024-01-23,2024-02-26,2024-02-26
160,0.2991733195027336,47.867731120437384,2024-01-30_2024-03-04,0,4,2024-01-30,2024-03-04,2024-03-04
160,0.3165401967475191,50.64643147960305,2024-02-06_2024-03-11,0,5,2024-02-06,2024-03-11,2024-03-11
160,0.3065518211806193,49.04829138889909,2024-02-13_2024-03-18,0,6,2024-02-13,2024-03-18,2024-03-18
160,0.2969848428387195,47.51757485419512,2024-02-20_2024-03-25,0,7,2024-02-20,2024-03-25,2024-03-25
160,0.30747374435886743,49.195799097418785,2024-02-27_2024-04-01,0,8,2024-02-27,2024-04-01,2024-04-01
160,0.3103677631588653,49.658842105418444,2024-03-05_2024-04-08,0,9,2024-03-05,2024-04-08,2024-04-08
160,0.32110637484584004,51.377019975334406,2024-03-12_2024-04-15,0,10,2024-03-12,2024-04-15,2024-04-15
160,0.3111552005633712,49.78483209013939,2024-03-19_2024-04-22,0,11,2024-03-19,2024-04-22,2024-04-22
160,0.297803856106475,47.648616977036,2024-03-26_2024-04-29,0,12,2024-03-26,2024-04-29,2024-04-29
160,0.30369970691390336,48.59195310622454,2024-04-02_2024-05-06,0,13,2024-04-02,2024-05-06,2024-05-06
160,0.3145338745554909,50.325419928878546,2024-04-09_2024-05-13,0,14,2024-04-09,2024-05-13,2024-05-13
160,0.3299418445676565,52.79069513082504,2024-04-16_2024-05-20,0,15,2024-04-16,2024-05-20,2024-05-20
160,0.30952462202403697,49.52393952384591,2024-04-23_2024-05-27,0,16,2024-04-23,2024-05-27,2024-05-27
160,0.3195754184154794,51.1320669464767,2024-04-30_2024-06-03,0,17,2024-04-30,2024-06-03,2024-06-03
160,0.3044470468070358,48.71152748912573,2024-05-07_2024-06-10,0,18,2024-05-07,2024-06-10,2024-06-10
160,0.31191809447482227,49.906895115971565,2024-05-14_2024-06-17,0,19,2024-05-14,2024-06-17,2024-06-17
160,0.309250897844322,49.480143655091524,2024-05-21_2024-06-24,0,20,2024-05-21,2024-06-24,2024-06-24
160,0.3074969285633415,49.19950857013464,2024-05-28_2024-07-01,0,21,2024-05-28,2024-07-01,2024-07-01
160,0.32061535310931505,51.298456497490406,2024-06-04_2024-07-08,0,22,2024-06-04,2024-07-08,2024-07-08
160,0.3111947471858002,49.791159549728036,2024-06-11_2024-07-15,0,23,2024-06-11,2024-07-15,2024-07-15
160,0.31597746403422206,50.55639424547553,2024-06-18_2024-07-22,0,24,2024-06-18,2024-07-22,2024-07-22
160,0.3105547656188719,49.688762499019504,2024-06-25_2024-07-29,0,25,2024-06-25,2024-07-29,2024-07-29
160,0.29340106297750024,46.94417007640004,2024-07-02_2024-08-05,0,26,2024-07-02,2024-08-05,2024-08-05
160,0.30568031932925804,48.90885109268129,2024-07-09_2024-08-12,0,27,2024-07-09,2024-08-12,2024-08-12
160,0.31154195717535915,49.84671314805746,2024-07-16_2024-08-19,0,28,2024-07-16,2024-08-19,2024-08-19
160,0.3128106642048806,50.049706272780895,2024-07-23_2024-08-26,0,29,2024-07-23,2024-08-26,2024-08-26
160,0.33642163025215266,53.82746084034443,2024-07-30_2024-09-02,0,30,2024-07-30,2024-09-02,2024-09-02
160,0.3360890666488558,53.77425066381693,2024-08-06_2024-09-09,0,31,2024-08-06,2024-09-09,2024-09-09
160,0.32282033858355136,51.651254173368216,2024-08-13_2024-09-16,0,32,2024-08-13,2024-09-16,2024-09-16
160,0.3145921569317579,50.33474510908127,2024-08-20_2024-09-23,0,33,2024-08-20,2024-09-23,2024-09-23
160,0.32344784839078783,51.751655742526054,2024-08-27_2024-09-30,0,34,2024-08-27,2024-09-30,2024-09-30
160,0.3220723705133423,51.53157928213477,2024-09-03_2024-10-07,0,35,2024-09-03,2024-10-07,2024-10-07
160,0.3103405445697717,49.65448713116348,2024-09-10_2024-10-14,0,36,2024-09-10,2024-10-14,2024-10-14
160,0.3265961796278134,52.255388740450144,2024-09-17_2024-10-21,0,37,2024-09-17,2024-10-21,2024-10-21
160,0.31851467839442194,50.96234854310751,2024-09-24_2024-10-28,0,38,2024-09-24,2024-10-28,2024-10-28
160,0.31583678571041673,50.53388571366668,2024-10-01_2024-11-04,0,39,2024-10-01,2024-11-04,2024-11-04
160,0.3163019525818527,50.60831241309643,2024-10-08_2024-11-11,0,40,2024-10-08,2024-11-11,2024-11-11
160,0.30384133525658397,48.61461364105344,2024-10-15_2024-11-18,0,41,2024-10-15,2024-11-18,2024-11-18
160,0.311046249861829,49.76739997789264,2024-10-22_2024-11-25,0,42,2024-10-22,2024-11-25,2024-11-25
160,0.33149230470880864,53.038768753409386,2024-10-29_2024-12-02,0,43,2024-10-29,2024-12-02,2024-12-02
160,0.3168875679606572,50.70201087370515,2024-11-05_2024-12-09,0,44,2024-11-05,2024-12-09,2024-12-09
160,0.3125315536512062,50.00504858419299,2024-11-12_2024-12-16,0,45,2024-11-12,2024-12-16,2024-12-16
160,0.3233425425365567,51.734806805849075,2024-11-19_2024-12-23,0,46,2024-11-19,2024-12-23,2024-12-23
160,0.3246270919684321,51.94033471494913,2024-11-26_2024-12-30,0,47,2024-11-26,2024-12-30,2024-12-30
160,0.3126973496051505,50.03157593682408,2024-12-03_2025-01-06,0,48,2024-12-03,2025-01-06,2025-01-06
160,0.3155800084816292,50.49280135706067,2024-12-10_2025-01-13,0,49,2024-12-10,2025-01-13,2025-01-13
160,0.3123081019381061,49.96929631009698,2024-12-17_2025-01-20,0,50,2024-12-17,2025-01-20,2025-01-20
160,0.3092774479649961,49.484391674399376,2024-12-24_2025-01-27,0,51,2024-12-24,2025-01-27,2025-01-27
160,0.3172195899533108,50.755134392529726,2024-12-31_2025-02-03,0,52,2024-12-31,2025-02-03,2025-02-03
