,component_1,component_2,component_3
贵州茅台,3.576567,3.836448,3.5435593
中信证券,4.1164865,3.7459333,3.826757
国泰海通,4.0159607,3.6338546,3.7359788
美的集团,3.5042772,3.7972717,3.8170357
格力电器,3.4991987,3.5299685,3.8976097
中国中车,3.771218,3.4414022,4.065748
中国船舶,3.0788467,3.3085027,4.2685146
万科A,3.9827356,3.5854335,3.5915155
张江高科,4.2491994,3.019357,5.2907085
紫金矿业,5.4032245,3.3324015,4.3835077
山东黄金,5.6639066,3.3437552,4.1806116
湖南白银,5.5881658,3.4242454,4.2833295
北方铜业,5.4955244,3.2914424,4.102437
洛阳钼业,5.5701876,3.4215143,4.2426944
天齐锂业,4.7939677,3.1384397,4.669288
华友钴业,5.012706,3.329073,4.6100817
博迁新材,5.09924,2.7644637,4.3198667
厦门钨业,5.200519,1.9370848,5.467612
北方稀土,5.3906183,3.4314437,4.5435014
中国稀土,5.361406,3.4151592,4.629926
金力永磁,5.412524,3.472064,4.5791836
有研新材,4.8750277,2.6324484,4.9771695
中航成飞,2.4231997,2.7917063,4.944768
中航沈飞,2.4892879,3.0197024,4.6553454
中航高科,1.9673268,2.9370768,4.794618
中航光电,2.1509197,2.655102,4.811807
中航机载,2.1702032,3.0727534,4.7105923
高德红外,4.099697,1.4942695,6.121988
景嘉微,3.9802341,2.1038558,6.0230374
雷科防务,1.2477593,2.7490418,4.683718
中国卫通,1.2778503,2.8500075,4.6990976
中国卫星,2.243789,2.1015363,4.5847173
航天电子,1.4407839,2.4543178,4.9876
国博电子,1.4853445,1.6756248,5.6183634
航天发展,1.3818502,2.909565,4.5618668
北斗星通,1.3600272,2.719445,4.5964413
星网宇达,2.0666308,2.4342487,4.950906
中际旭创,4.629461,0.8562867,6.313914
新易盛,4.8307066,0.69563824,6.5090895
天孚通信,4.7772713,0.39391235,5.9673257
剑桥科技,4.549164,0.5528347,6.2096786
仕佳光子,4.7105627,0.33728495,6.206008
长飞光纤,4.973222,1.5631576,4.3944902
亨通光电,5.095553,1.652921,4.60621
中天科技,5.0187087,1.7853754,4.5183773
光库科技,4.9157996,0.40193525,5.801332
华工科技,4.6402884,0.9425998,5.8295283
光迅科技,4.4378443,0.5505998,5.856071
烽火通信,2.0138512,1.7371237,5.377069
腾景科技,4.8685637,0.5855451,5.956538
广和通,1.7716137,2.3718808,5.6810074
国盾量子,2.0736387,2.0732841,5.4667587
神州信息,2.0901833,2.5174565,5.140365
电科网安,2.0553043,2.5496213,5.5993953
富士达,1.3211541,2.3105183,5.3227515
纬德信息,4.7671523,1.7856089,6.186444
寒武纪,3.1137626,2.40711,5.297947
东芯股份,4.9506702,1.3731871,6.321212
海光信息,3.8571382,1.8186634,5.77648
兆易创新,4.8448167,2.3337138,5.9131546
澜起科技,4.688308,1.1665695,6.055825
国芯科技,3.8358462,2.6657884,5.799219
中芯国际,4.4994755,1.5917289,6.010114
中瓷电子,5.0307074,1.273829,6.0044756
江丰电子,4.4434166,2.1068957,4.2496037
铂科新材,4.8539944,1.6507537,5.930756
至纯科技,4.1359696,3.0370717,5.2662125
凯德石英,3.8286636,1.9472113,4.145662
南大光电,4.589651,3.030141,5.6528206
富创精密,4.7300816,2.7098758,5.7509365
新莱应材,4.398402,3.0861087,5.489725
晶瑞电材,4.6206007,2.9513602,5.7095413
华特气体,4.705418,2.7784567,5.76987
阿里巴巴,3.1111856,2.3015559,6.1325727
美团,4.008132,4.076196,3.950531
小米集团,3.923207,4.1690955,3.917705
工业富联,4.4970174,1.225081,6.404329
立讯精密,3.8668664,3.2742305,4.228063
蓝思科技,1.429972,2.5715973,5.384083
歌尔股份,3.1259964,2.2070768,5.0208216
华勤技术,3.5621622,2.3466914,5.023396
信维通信,1.7950826,2.8571985,5.0849185
大族激光,5.027607,1.171166,5.842998
中石科技,4.9126062,1.4836863,5.5185876
胜宏科技,4.6047297,0.8080791,6.6093354
生益科技,4.4626646,1.0040091,6.335441
沪电股份,4.4423113,0.8382718,6.4193854
东山精密,4.678364,0.6327907,6.6098547
海康威视,3.9085352,3.881748,3.627772
科大讯飞,2.5599368,2.2412586,6.048042
蓝色光标,1.529482,1.7694242,5.7467203
昆仑万维,1.5842662,2.2468743,5.9606366
拓尔思,1.8388135,1.5738968,5.782632
金山办公,2.090483,2.36124,6.0148234
中科创达,2.3276014,2.485754,5.9508977
汉得信息,1.900547,2.1581643,6.020315
开普云,4.792542,2.1466243,6.0632753
并行科技,1.5771996,2.1455803,5.643936
中科曙光,3.944594,1.8557819,5.7793274
英维克,4.7610493,0.55205375,5.792619
润泽科技,1.7748166,1.6290165,5.8823233
紫光股份,2.9557118,2.2480707,5.441278
东华软件,2.2051141,1.7660986,5.774725
拓维信息,2.4367266,2.2140603,5.783699
星环科技,1.3047969,1.769127,5.4201207
中国核电,3.4431596,3.334445,4.445213
上海电气,3.1772175,3.1053321,4.891946
西部超导,1.4110329,2.4691803,5.7046237
斯瑞新材,1.5120581,2.9272354,4.9939256
安泰科技,1.755458,1.834769,5.8573146
麦格米特,5.099384,1.7435012,5.58365
特变电工,4.1785088,2.9827256,4.2937975
中国西电,4.163479,2.9670002,4.257209
金风科技,1.1961302,2.4084027,4.8685083
隆基绿能,2.8312843,1.9519656,3.980114
阳光电源,4.0584235,1.2079737,4.9785976
正泰电源,4.7787576,1.8078277,4.391675
天合光能,2.474897,1.7146288,3.861167
晶科能源,2.6980681,1.9101722,3.5506992
迈为科技,2.3053536,1.8647506,3.9144182
国晟科技,2.2279115,1.6396819,5.076457
捷佳伟创,2.5302022,1.743946,3.7121124
乾照光电,1.3928429,2.6901581,5.2218847
东方日升,2.4560034,2.069506,3.9313953
帝科股份,4.291304,1.3917022,4.7160907
聚和材料,4.2404733,1.0214821,5.0179944
TCL中环,3.2726834,2.3426313,3.6932142
高测股份,2.4514472,1.7089016,3.775785
晶盛机电,2.5635593,1.8167206,3.6436071
协鑫能科,4.327751,1.9269214,4.2397814
掌阅科技,2.4454985,2.7700899,5.615175
润和软件,2.2031877,1.8495615,5.730191
中来股份,2.8846626,2.0406828,3.7229712
宁德时代,3.4431326,3.5212796,4.2112827
富临精工,2.9104779,1.9213886,5.2422085
盛弘股份,4.2360287,2.2535424,5.050774
亿纬锂能,3.940196,1.6879166,4.803465
先导智能,3.7832794,1.488569,4.849563
比亚迪,4.031673,3.7096894,4.080127
豪能股份,2.6220973,2.6741054,5.0667834
赛力斯,4.249982,3.4586189,4.281872
万丰奥威,2.7797248,1.7958509,5.393954
中信海直,2.6520731,1.9543446,5.5320706
永悦科技,3.5639822,2.9759111,4.708917
优必选,4.6043286,2.09711,5.5055814
机器人,3.4216025,2.5243647,4.8064036
三花智控,4.078703,2.3361163,4.8924184
拓普集团,4.177041,2.1601462,4.7174726
绿的谐波,4.0886016,1.9703774,4.893019
宁波华翔,4.2219152,1.9629408,5.1374955
柯力传感,4.0646434,2.015415,5.0164037
秦川机床,3.7573276,2.6160533,4.945997
岱美股份,4.499474,1.981687,4.3603954
南山智尚,2.445858,2.0360744,5.197596
恒辉安防,4.3344183,2.0574687,4.903734
埃斯顿,3.3685775,2.710018,4.7868247
恒而达,3.7141793,1.9489301,5.0128117
云南白药,3.6601958,3.6353147,3.9849038
片仔癀,3.6278086,3.8744597,3.6170712
同仁堂,3.7125466,3.7770884,3.915439
东阿阿胶,3.8609018,3.4190764,3.559572
