,贵州茅台,中信证券,国泰海通,美的集团,格力电器,中国中车,中国船舶,万科A,张江高科,紫金矿业,山东黄金,湖南白银,北方铜业,洛阳钼业,天齐锂业,华友钴业,博迁新材,厦门钨业,北方稀土,中国稀土,金力永磁,有研新材,中航成飞,中航沈飞,中航高科,中航光电,中航机载,高德红外,景嘉微,雷科防务,中国卫通,中国卫星,航天电子,国博电子,航天发展,北斗星通,星网宇达,中际旭创,新易盛,天孚通信,剑桥科技,仕佳光子,长飞光纤,亨通光电,中天科技,光库科技,华工科技,光迅科技,烽火通信,腾景科技,广和通,国盾量子,神州信息,电科网安,富士达,纬德信息,寒武纪,东芯股份,海光信息,兆易创新,澜起科技,国芯科技,中芯国际,中瓷电子,江丰电子,铂科新材,至纯科技,凯德石英,南大光电,富创精密,新莱应材,晶瑞电材,华特气体,阿里巴巴,美团,小米集团,工业富联,立讯精密,蓝思科技,歌尔股份,华勤技术,信维通信,大族激光,中石科技,胜宏科技,生益科技,沪电股份,东山精密,海康威视,科大讯飞,蓝色光标,昆仑万维,拓尔思,金山办公,中科创达,汉得信息,开普云,并行科技,中科曙光,英维克,润泽科技,紫光股份,东华软件,拓维信息,星环科技,中国核电,上海电气,西部超导,斯瑞新材,安泰科技,麦格米特,特变电工,中国西电,金风科技,隆基绿能,阳光电源,正泰电源,天合光能,晶科能源,迈为科技,国晟科技,捷佳伟创,乾照光电,东方日升,帝科股份,聚和材料,TCL中环,高测股份,晶盛机电,协鑫能科,掌阅科技,润和软件,中来股份,宁德时代,富临精工,盛弘股份,亿纬锂能,先导智能,比亚迪,豪能股份,赛力斯,万丰奥威,中信海直,永悦科技,优必选,机器人,三花智控,拓普集团,绿的谐波,宁波华翔,柯力传感,秦川机床,岱美股份,南山智尚,恒辉安防,埃斯顿,恒而达,云南白药,片仔癀,同仁堂,东阿阿胶
贵州茅台,0.0,0.61636597,0.5207074,0.28556943,0.4746232,0.6831043,1.0256763,0.4798761,2.042695,2.0727408,2.2373128,2.1825902,2.0716596,2.1530173,1.7990402,1.859407,2.0175076,3.1538515,2.1106148,2.131508,2.1391664,2.2783444,2.0940695,1.7565072,2.2279296,2.244215,1.9806701,3.5224648,3.051661,2.8117182,2.7554367,2.422855,2.9252532,3.6533792,2.5909157,2.6961648,2.4953344,4.2029524,4.497991,4.378057,4.3400755,4.540784,2.8004603,2.864321,2.6901565,4.3228416,3.8381655,4.1092954,3.1954656,4.2497168,3.1577678,3.011019,2.5492868,2.862975,3.2528255,3.550813,2.3097773,3.9586825,3.0226,3.0792286,3.8308876,2.5545392,3.460407,3.8389647,2.0594363,3.4796247,1.9797645,1.9988235,2.4749653,2.7335463,2.2418706,2.5621994,2.7111084,3.0455644,0.63980746,0.60893255,3.9812646,0.93215215,3.097619,2.2450318,2.0998807,2.5511575,3.8074484,3.34981,4.4302506,4.0746145,4.2436953,4.5694137,0.34546614,3.1385665,3.649255,3.5125873,3.6266198,3.2391095,3.0297801,3.4292853,3.2684963,3.356797,3.0095084,4.1531334,3.6863089,2.5514193,3.338462,2.9915888,3.599477,1.0405688,1.5849783,3.3509934,2.68187,3.560424,3.295659,1.2860922,1.2687397,3.0759199,2.072993,3.0332158,2.5059655,2.4117768,2.117156,2.375102,2.999071,2.3456032,2.9831872,2.1279483,2.804008,3.246346,1.5317408,2.4179075,2.2617455,2.1668627,2.5899856,3.258105,1.932794,0.7503269,2.6450965,2.283019,2.5170965,2.6946077,0.7149083,2.1406224,1.0683389,2.8675692,2.8898406,1.4487032,2.8162246,1.8276631,2.0790758,2.1327515,2.3591187,2.5430565,2.392415,1.8678516,2.2269075,2.693638,2.364145,1.6905067,2.3959055,0.49217206,0.097337514,0.40038535,0.50527394
中信证券,0.61636597,0.0,0.17580599,0.614435,0.65780336,0.51871604,1.2096248,0.31462362,1.6397195,1.4617368,1.6375192,1.574097,1.4779401,1.546447,1.2401161,1.2611816,1.4738533,2.6719775,1.4953388,1.5179975,1.5234381,1.7716327,2.2422574,1.9651325,2.4919655,2.4543207,2.2410612,3.2153313,2.7456567,3.1555936,3.1018572,2.6049073,3.1898606,3.7972279,2.9526486,3.040421,2.680697,3.8469663,4.124235,4.031714,4.007668,4.1991243,2.412639,2.43861,2.2663033,3.964867,3.4848444,3.798887,3.29543,3.884539,3.2900903,3.1081486,2.7093592,2.9701653,3.480273,3.1359782,2.2276227,3.5423286,2.753734,2.622572,3.4567099,2.2662919,3.0910072,3.4189997,1.7239858,3.0594945,1.6046485,1.8493088,2.0176103,2.2698858,1.8111621,2.1048408,2.2491195,2.9006279,0.36896384,0.47401983,3.6253796,0.6677278,3.319893,2.1851637,1.9227841,2.7859893,3.394819,2.9349377,4.0757957,3.7324903,3.9092684,4.2134304,0.318252,3.1017737,3.7796085,3.634936,3.7055342,3.287811,3.0496123,3.4990134,2.8314052,3.508739,2.7230039,3.8053834,3.7669759,2.4895117,3.3715975,2.9996417,3.7884257,1.0025864,1.557955,3.5321326,2.969107,3.6537883,2.8394532,0.8969167,0.891198,3.3767905,2.2121446,2.7877135,2.124615,2.6119337,2.3362656,2.6128023,3.0926948,2.556833,3.2371712,2.361898,2.5226731,2.9760802,1.6428919,2.6314354,2.4833422,1.877239,2.6349401,3.2984846,2.1061912,0.8073009,2.6051724,1.9338405,2.2848349,2.5005705,0.26963535,2.218035,0.5545269,2.8365223,2.8744376,1.2947594,2.4031353,1.7131262,1.7676667,1.8198247,2.071302,2.2154489,2.1006286,1.6304364,1.8825554,2.7556882,2.014519,1.5981923,2.1903875,0.49542722,0.5470771,0.414732,0.49350458
国泰海通,0.5207074,0.17580599,0.0,0.5432268,0.55132556,0.4535248,1.1258912,0.1559428,1.687955,1.5603424,1.7313526,1.6779027,1.5622569,1.6484752,1.3121728,1.3603119,1.506738,2.6982882,1.6070926,1.6300896,1.639378,1.8114537,2.169625,1.8849795,2.408966,2.3651092,2.1613715,3.2059126,2.751874,3.0568025,3.0065367,2.4917762,3.0966752,3.7124188,2.8539839,2.9377751,2.5913296,3.838882,4.121537,4.00696,3.9870012,4.177426,2.3743994,2.4180405,2.2437751,3.9396315,3.4663506,3.7655327,3.2092378,3.8665237,3.2268884,3.0337427,2.6319697,2.9141133,3.39574,3.1599176,2.1814234,3.5591755,2.7356515,2.6678574,3.452714,2.2861657,3.094472,3.4271724,1.6667731,3.0744164,1.6468658,1.7457623,2.0899458,2.3288965,1.8766761,2.174014,2.3116596,2.8874383,0.49169093,0.5728093,3.6268027,0.62745965,3.2453003,2.116259,1.8762105,2.7120347,3.3952606,2.9334095,4.0728164,3.7246258,3.8984263,4.2076507,0.2910327,3.0667515,3.7015889,3.5757453,3.6293504,3.2434773,3.0124009,3.4454072,2.869014,3.435523,2.709596,3.7792094,3.6944413,2.4397888,3.3051722,2.950077,3.6964784,0.9595624,1.5228546,3.4666522,2.889856,3.584222,2.8567693,0.87266976,0.859149,3.276553,2.0716686,2.7259498,2.0847473,2.464544,2.177671,2.467336,2.995117,2.404122,3.1589916,2.217846,2.462454,2.91864,1.4904857,2.480873,2.3280847,1.8068347,2.5968862,3.2321403,1.9540218,0.7528074,2.5344348,1.9189523,2.2207975,2.428263,0.35275427,2.1529083,0.6192516,2.7668426,2.811919,1.2584845,2.4164548,1.652283,1.7393715,1.7779464,2.0276034,2.1905751,2.0642686,1.602172,1.8312125,2.6747801,1.9874759,1.5417056,2.1354964,0.4342055,0.47190246,0.38050222,0.3182645
美的集团,0.28556943,0.614435,0.5432268,0.0,0.27922928,0.5096651,0.78975916,0.56978697,1.8253143,2.035435,2.2364845,2.167757,2.0742185,2.1425135,1.6803856,1.7673395,1.9655628,3.0103045,2.054231,2.0629416,2.0803933,2.140486,1.8578672,1.5289149,2.0144029,2.0311816,1.7615685,3.3122723,2.82146,2.6347291,2.575329,2.2480402,2.7261236,3.438351,2.418159,2.52329,2.2826126,4.018685,4.315866,4.222217,4.1644807,4.3742223,2.735419,2.784456,2.6140218,4.178293,3.6728463,3.9458954,2.9831667,4.0931573,2.916891,2.7821658,2.3213766,2.6139932,3.040336,3.3549569,2.068369,3.7734783,2.8069246,2.8866522,3.6516712,2.3063486,3.265644,3.6718721,1.981532,3.301074,1.754153,1.9068155,2.266414,2.534758,2.0256116,2.3544261,2.5088413,2.7844925,0.5911764,0.56911284,3.7809765,0.75761896,2.8741357,2.0300043,1.8875486,2.3265018,3.6498613,3.1986475,4.235942,3.8811321,4.050656,4.380897,0.4542923,2.8792958,3.4257357,3.2688224,3.4030476,2.981824,2.7673113,3.1801045,3.070807,3.1271837,2.7953265,4.0017304,3.458002,2.3106515,3.105807,2.7411654,3.394255,0.7826561,1.3195379,3.1158445,2.4720376,3.3275402,3.1437662,1.1599032,1.1478894,2.8917286,1.9709563,2.8914993,2.4315424,2.323569,2.069312,2.2762992,2.8054314,2.2750773,2.767211,2.024137,2.6859777,3.1127632,1.4781563,2.3391113,2.199457,2.0868716,2.3258157,3.0243301,1.8650403,0.48511964,2.4295375,2.10729,2.3690603,2.544418,0.59584713,1.8977917,0.9417186,2.649025,2.6578143,1.21394,2.636636,1.6143037,1.9029945,1.9858443,2.199254,2.3713684,2.219799,1.6534406,2.1405618,2.4754827,2.2129083,1.4632245,2.2114036,0.28057155,0.247394,0.23122865,0.58008647
格力电器,0.4746232,0.65780336,0.55132556,0.27922928,0.0,0.3318269,0.60275483,0.5749591,1.662513,1.9749541,2.191056,2.1269088,2.0209317,2.1023417,1.5573083,1.6848379,1.823302,2.8101025,2.0010877,2.0043163,2.0319228,1.9656798,1.6731244,1.3617836,1.8715705,1.849055,1.6236426,3.074496,2.6043494,2.509341,2.4574618,2.022026,2.565575,3.233449,2.3041923,2.3919384,2.0886085,3.7768495,4.07752,3.9688842,3.9129803,4.121812,2.5075843,2.5639362,2.3953848,3.9262588,3.4247441,3.6869044,2.7585049,3.8449936,2.739749,2.5722325,2.134232,2.4376187,2.8743637,3.1447191,1.8358421,3.554198,2.566484,2.7026162,3.4143126,2.1157167,3.0364454,3.4459496,1.7437268,3.082305,1.5879226,1.6356032,2.1259537,2.3711696,1.8815978,2.2080367,2.3505516,2.5796533,0.7484507,0.7672485,3.5484912,0.55657965,2.7220905,1.7750852,1.6344737,2.1831934,3.4182622,2.9685957,3.9980416,3.6402967,3.8071046,4.1400895,0.60342157,2.6771896,3.224672,3.093441,3.183772,2.79875,2.5843792,2.9905539,2.876888,2.9428332,2.5577605,3.7485068,3.2444105,2.078834,2.8826125,2.5333366,3.1990626,0.58415663,1.1281366,2.9582102,2.3481746,3.1232636,2.9316874,0.9580719,0.942079,2.739467,1.7155203,2.6216266,2.2016222,2.0847015,1.8400807,2.0490239,2.564963,2.040402,2.6259701,1.7950902,2.4227102,2.8455675,1.2259104,2.1044972,1.9685417,1.8366656,2.153539,2.8038843,1.6205323,0.31876272,2.1776288,1.8713552,2.0995731,2.2702928,0.59088147,1.6937461,0.846418,2.4008024,2.4231539,0.9845792,2.420737,1.3576326,1.6585393,1.7343756,1.9417931,2.1249027,1.9660366,1.4145628,1.9004992,2.243036,1.9692979,1.2165871,1.9466828,0.21127746,0.46251118,0.32696095,0.50734186
中国中车,0.6831043,0.51871604,0.4535248,0.5096651,0.3318269,0.0,0.7335902,0.5388704,1.3809838,1.6662225,1.8986833,1.8300096,1.7312037,1.8077601,1.225587,1.3602237,1.5121057,2.5042152,1.6884326,1.6875079,1.7200122,1.6442294,1.7354925,1.4726849,2.0098805,1.9494201,1.764929,2.85085,2.3798528,2.6886976,2.6396518,2.0970478,2.6935236,3.279299,2.4976115,2.5722945,2.1687508,3.5318055,3.8251343,3.7303264,3.6804156,3.8856947,2.2540379,2.290115,2.1221523,3.6824825,3.1796567,3.465023,2.7771327,3.5965502,2.7841258,2.5915928,2.1987166,2.4681382,2.9768722,2.868952,1.7379073,3.2795942,2.3595057,2.406761,3.158532,1.9001776,2.780685,3.1691246,1.5055103,2.8030484,1.3181963,1.4974288,1.8324211,2.0722957,1.5960275,1.9140657,2.0533526,2.4508479,0.68728936,0.75799406,3.3026993,0.25187516,2.8241813,1.688797,1.4694167,2.2989376,3.1450124,2.6918693,3.7548592,3.4015422,3.5729907,3.8966253,0.63606876,2.6147726,3.2629063,3.1305363,3.188958,2.7911494,2.559508,2.9944017,2.5903025,2.9972568,2.341069,3.5085874,3.2512004,1.9952875,2.8600569,2.4977171,3.2732344,0.5128895,1.0716261,3.0334144,2.4959338,3.139151,2.6364594,0.6544283,0.6446572,2.8883543,1.763301,2.4298115,1.9467742,2.168882,1.9394822,2.1581216,2.578667,2.1322608,2.7491248,1.90524,2.212398,2.642534,1.262781,2.1971416,2.0679054,1.6228583,2.1468384,2.7862244,1.6927762,0.36769652,2.1060326,1.6116252,1.9098406,2.1042976,0.37419447,1.7062516,0.52556694,2.3356001,2.3693726,0.8205455,2.1387646,1.2295362,1.4140676,1.4936713,1.717272,1.8808557,1.7387593,1.2067444,1.6576918,2.2388847,1.7130928,1.1031743,1.7685179,0.23762116,0.6398564,0.37245196,0.5145444
中国船舶,1.0256763,1.2096248,1.1258912,0.78975916,0.60275483,0.7335902,0.0,1.1627698,1.5805731,2.3273432,2.5867941,2.5120306,2.4224374,2.4940364,1.7695143,1.9638997,2.0929892,2.7964468,2.331313,2.3134542,2.3599403,2.0458512,1.0743695,0.7619864,1.2846084,1.258232,1.0376142,2.787282,2.311282,1.9591507,1.9076707,1.5013573,1.982414,2.6509678,1.767768,1.8463112,1.5015187,3.5498486,3.8621562,3.7769618,3.6774523,3.904422,2.578906,2.6309872,2.4789941,3.7645795,3.2361026,3.4602368,2.1982584,3.6697423,2.1403866,1.9929869,1.5373135,1.8424938,2.2796648,2.9745646,1.3687435,3.3856664,2.2581673,2.602634,3.220671,1.8246057,2.8281915,3.311075,1.8183146,2.9431832,1.4787105,1.5589845,2.067926,2.2983701,1.8116404,2.1403537,2.2761264,2.1188912,1.2466106,1.25564,3.3035672,0.7898011,2.122807,1.3346639,1.3147322,1.5868967,3.2931554,2.8732057,3.7496502,3.3908446,3.5478613,3.8986874,1.1947988,2.1389236,2.637117,2.494815,2.6151655,2.2189558,2.017845,2.4042616,2.7400508,2.3450196,2.2677016,3.570814,2.6693718,1.5858915,2.3261747,1.9763366,2.615937,0.40573284,0.6630396,2.35552,1.7681663,2.5391996,2.8742619,1.147182,1.1371801,2.1713576,1.4087778,2.4240484,2.270879,1.7524616,1.6172752,1.6757374,2.040055,1.7488374,2.0331929,1.4271287,2.311818,2.6723697,1.1408114,1.7874943,1.6974818,1.8626205,1.582565,2.2431645,1.393805,0.42573905,1.7030894,1.7504116,1.9116468,2.036173,1.0508657,1.1172793,1.1807925,1.9089795,1.9006455,0.73479795,2.3075747,1.010781,1.5279082,1.6511561,1.7889075,1.9678085,1.7897512,1.1827109,1.9460381,1.6979225,1.8828304,0.84307367,1.6751308,0.7247124,1.0227635,0.8636033,1.0613371
万科A,0.4798761,0.31462362,0.1559428,0.56978697,0.5749591,0.5388704,1.1627698,0.0,1.8107188,1.6459239,1.7977147,1.7555609,1.6235768,1.7236319,1.4210893,1.4710664,1.5655888,2.7784505,1.7064946,1.7343649,1.7414466,1.9037864,2.2121139,1.9188986,2.4350967,2.389598,2.1909924,3.2848039,2.8473456,3.0614626,3.0139666,2.4924557,3.1128755,3.7406476,2.8570938,2.9391172,2.6162236,3.9087014,4.1931148,4.057286,4.0462666,4.2327027,2.3906968,2.4500148,2.274318,3.9860454,3.5250032,3.813863,3.2374306,3.921397,3.2753239,3.0737247,2.6685698,2.9697607,3.4214914,3.2539716,2.248437,3.6444716,2.8127072,2.7748864,3.524423,2.3960965,3.1767118,3.502019,1.6826707,3.1581836,1.7688389,1.736257,2.219386,2.4470851,2.006316,2.3010767,2.4328396,2.9774003,0.60859275,0.6712709,3.707785,0.71795946,3.279903,2.1625876,1.9394963,2.747072,3.4626026,2.9992676,4.1482296,3.79779,3.9692512,4.2792954,0.3076077,3.1409688,3.7364757,3.627276,3.6665614,3.309334,3.084712,3.503095,2.972466,3.474509,2.789206,3.827796,3.7350066,2.502986,3.3520622,3.0127192,3.7167354,1.0406424,1.6032703,3.510684,2.9162004,3.627594,2.9339764,0.9459301,0.9264315,3.2834861,2.0359435,2.7535505,2.1056561,2.4178917,2.1115248,2.4245877,3.0117118,2.3485045,3.1885996,2.1781793,2.4844196,2.9453552,1.4349474,2.4290266,2.2682858,1.813821,2.66891,3.2793255,1.8998157,0.82425636,2.5775123,1.9918652,2.2519326,2.4534276,0.50653267,2.2041485,0.7510621,2.8104491,2.8630173,1.3399471,2.5030248,1.7078321,1.8061981,1.8267395,2.0769029,2.2538285,2.1217854,1.6808115,1.8520793,2.7096126,2.044572,1.6038412,2.1841128,0.51115006,0.45843482,0.4633142,0.20865889
张江高科,2.042695,1.6397195,1.687955,1.8253143,1.662513,1.3809838,1.5805731,1.8107188,0.0,1.5009277,1.8272783,1.7238266,1.743372,1.7335149,0.834935,1.0686996,1.3153225,1.4517634,1.4251214,1.3528843,1.4368494,0.7997912,1.8723714,1.8710893,2.3366256,2.1828437,2.1590765,1.7433497,1.2028259,3.0741096,3.0344026,2.3157048,2.8806841,3.0906098,2.9605668,2.9865146,2.2850435,2.422895,2.6874285,2.7621787,2.6491916,2.871261,1.8568609,1.7469974,1.646618,2.7488158,2.180871,2.5396817,2.5784419,2.5981498,2.590365,2.3788888,2.221679,2.2647548,3.012794,1.6102022,1.2900059,2.064915,1.3532742,1.1010475,2.0520823,0.7446171,1.6181176,2.0413442,1.3979288,1.6274252,0.11719576,1.6240317,0.49714065,0.7340545,0.25753614,0.5639002,0.7041051,1.5871513,1.7236874,1.8202496,2.126262,1.1577368,2.8560898,1.4121697,0.9979755,2.4680629,2.0800846,1.6882895,2.5990245,2.2800572,2.4633992,2.7604396,1.9039769,2.0081332,3.0277288,2.8543653,2.853297,2.37013,2.1007428,2.605791,1.2859794,2.8333442,1.298245,2.5693367,2.8992457,1.5134939,2.446061,2.0436733,3.2014573,1.2098941,1.1469737,2.920481,2.7547245,2.8183396,1.5609088,1.0000854,1.0383694,3.1420932,2.2062335,1.8479497,1.5989047,2.625653,2.5814593,2.6468523,2.4566262,2.6596222,2.876088,2.4424376,1.7266206,2.0164208,1.9908614,2.691505,2.645876,1.5179044,1.8495268,2.3974423,2.2972949,1.4376473,1.7320687,0.80262935,1.4510764,1.65982,1.4104556,1.6783333,1.1003196,1.9149365,1.9347659,0.89993966,1.0113488,1.0791131,0.8090253,1.0353981,1.1332725,1.0678173,1.0569785,0.72347605,1.4159375,2.0561018,1.0403079,1.0607,1.2285303,1.5593123,1.9794922,1.6593733,1.8186216
紫金矿业,2.0727408,1.4617368,1.5603424,2.035435,1.9749541,1.6662225,2.3273432,1.6459239,1.5009277,0.0,0.33053124,0.22950871,0.29865977,0.23589438,0.70034665,0.45149934,0.64731,1.7785611,0.18859012,0.26328635,0.240585,1.0589432,3.0802455,2.943247,3.4829137,3.3495762,3.2598817,2.8460896,2.4944506,4.206938,4.165455,3.3966966,4.103278,4.429397,4.0474753,4.094936,3.5016391,3.2336235,3.4348793,3.3963237,3.4337022,3.573795,1.820782,1.7218922,1.5997914,3.2917233,2.8955483,3.2922366,3.875555,3.2102191,3.9742548,3.7208803,3.4947402,3.646875,4.31158,2.459214,2.6332488,2.792494,2.5733554,1.9102398,2.828176,2.2147882,2.5480487,2.6465123,1.5623783,2.3502276,1.572362,2.110584,1.5376664,1.6463661,1.5146104,1.5862086,1.647965,3.0619133,1.6392018,1.7628047,3.0570786,1.5452971,4.167338,2.6188343,2.1841686,3.7062762,2.634794,2.2241538,3.4589171,3.180583,3.3598862,3.5735054,1.7626723,3.4706702,4.3939877,4.272019,4.213658,3.8181937,3.5542905,4.0406337,2.1449056,4.199487,2.5012639,3.182502,4.2794056,2.8783622,3.8231795,3.4657369,4.5072722,1.961037,2.2945974,4.2927957,3.9595385,4.2096567,2.0142655,1.2768123,1.2986295,4.3345866,2.946728,2.5837598,1.6475288,3.3860197,3.167677,3.4598913,3.6644359,3.3508537,4.147109,3.23812,2.261259,2.6636276,2.4485416,3.4231663,3.3027928,1.7755772,3.2528975,3.7752624,2.9065444,1.9766881,2.9903362,1.7238119,2.2407916,2.4982288,1.4544895,2.938518,1.1645725,3.2038631,3.2843678,1.9015228,1.850197,2.1814194,1.7337623,1.728942,1.9603431,1.9594417,1.981618,1.8810971,1.6253397,3.330048,1.743111,2.165598,2.2721994,1.8135022,2.008321,1.8097587,1.7507547
