Nearest neighbors (metric=euclidean, n_neighbors=15)
  - 贵州茅台: 片仔癀, 美的集团, 海康威视
  - 中信证券: 国泰海通, 比亚迪, 万科A
  - 国泰海通: 万科A, 中信证券, 海康威视
  - 美的集团: 同仁堂, 片仔癀, 格力电器
  - 格力电器: 云南白药, 美的集团, 宁德时代
  - 中国中车: 云南白药, 立讯精密, 格力电器
  - 中国船舶: 中国核电, 宁德时代, 格力电器
  - 万科A: 国泰海通, 东阿阿胶, 海康威视
  - 张江高科: 至纯科技, 新莱应材, 南大光电
  - 紫金矿业: 北方稀土, 湖南白银, 洛阳钼业
  - 山东黄金: 洛阳钼业, 湖南白银, 北方铜业
  - 湖南白银: 洛阳钼业, 山东黄金, 紫金矿业
  - 北方铜业: 山东黄金, 洛阳钼业, 湖南白银
  - 洛阳钼业: 湖南白银, 山东黄金, 北方铜业
  - 天齐锂业: 华友钴业, 博迁新材, 有研新材
  - 华友钴业: 天齐锂业, 中国稀土, 北方稀土
  - 博迁新材: 天齐锂业, 华友钴业, 紫金矿业
  - 厦门钨业: 麦格米特, 中石科技, 优必选
  - 北方稀土: 金力永磁, 中国稀土, 紫金矿业
  - 中国稀土: 金力永磁, 北方稀土, 紫金矿业
  - 金力永磁: 北方稀土, 中国稀土, 紫金矿业
  - 有研新材: 天齐锂业, 博迁新材, 盛弘股份
  - 中航成飞: 豪能股份, 中航光电, 中航沈飞
  - 中航沈飞: 中航机载, 中航成飞, 中航光电
  - 中航高科: 中航机载, 中航光电, 信维通信
  - 中航光电: 星网宇达, 中航成飞, 中航高科
  - 中航机载: 中航高科, 中航沈飞, 中航光电
  - 高德红外: 中芯国际, 中科曙光, 海光信息
  - 景嘉微: 中科曙光, 海光信息, 国芯科技
  - 雷科防务: 中国卫通, 北斗星通, 航天发展
  - 中国卫通: 雷科防务, 航天发展, 北斗星通
  - 中国卫星: 星网宇达, 中航光电, 南山智尚
  - 航天电子: 金风科技, 乾照光电, 富士达
  - 国博电子: 蓝色光标, 星环科技, 安泰科技
  - 航天发展: 中国卫通, 北斗星通, 雷科防务
  - 北斗星通: 雷科防务, 中国卫通, 航天发展
  - 星网宇达: 神州信息, 中航光电, 中航成飞
  - 中际旭创: 沪电股份, 生益科技, 胜宏科技
  - 新易盛: 东山精密, 胜宏科技, 中际旭创
  - 天孚通信: 腾景科技, 光库科技, 英维克
  - 剑桥科技: 仕佳光子, 中际旭创, 天孚通信
  - 仕佳光子: 天孚通信, 剑桥科技, 腾景科技
  - 长飞光纤: 中天科技, 亨通光电, 正泰电源
  - 亨通光电: 中天科技, 长飞光纤, 正泰电源
  - 中天科技: 亨通光电, 长飞光纤, 正泰电源
  - 光库科技: 英维克, 天孚通信, 腾景科技
  - 华工科技: 澜起科技, 英维克, 光迅科技
  - 光迅科技: 英维克, 剑桥科技, 天孚通信
  - 烽火通信: 国盾量子, 国晟科技, 润和软件
  - 腾景科技: 英维克, 天孚通信, 光库科技
  - 广和通: 并行科技, 电科网安, 昆仑万维
  - 国盾量子: 烽火通信, 润和软件, 东华软件
  - 神州信息: 星网宇达, 中航光电, 信维通信
  - 电科网安: 广和通, 掌阅科技, 中科创达
  - 富士达: 蓝思科技, 航天电子, 乾照光电
  - 纬德信息: 铂科新材, 中芯国际, 开普云
  - 寒武纪: 紫光股份, 歌尔股份, 华勤技术
  - 东芯股份: 中瓷电子, 澜起科技, 纬德信息
  - 海光信息: 中科曙光, 景嘉微, 高德红外
  - 兆易创新: 开普云, 富创精密, 华特气体
  - 澜起科技: 华工科技, 中瓷电子, 生益科技
  - 国芯科技: 景嘉微, 至纯科技, 张江高科
  - 中芯国际: 铂科新材, 纬德信息, 高德红外
  - 中瓷电子: 大族激光, 东芯股份, 澜起科技
  - 江丰电子: 岱美股份, 协鑫能科, 正泰电源
  - 铂科新材: 纬德信息, 中芯国际, 中瓷电子
  - 至纯科技: 张江高科, 新莱应材, 南大光电
  - 凯德石英: 协鑫能科, 江丰电子, 拓普集团
  - 南大光电: 晶瑞电材, 新莱应材, 华特气体
  - 富创精密: 华特气体, 晶瑞电材, 南大光电
  - 新莱应材: 南大光电, 张江高科, 晶瑞电材
  - 晶瑞电材: 南大光电, 华特气体, 富创精密
  - 华特气体: 富创精密, 晶瑞电材, 南大光电
  - 阿里巴巴: 科大讯飞, 紫光股份, 拓维信息
  - 美团: 小米集团, 中信证券, 比亚迪
  - 小米集团: 美团, 海康威视, 同仁堂
  - 工业富联: 生益科技, 沪电股份, 澜起科技
  - 立讯精密: 中国中车, 中国西电, 赛力斯
  - 蓝思科技: 乾照光电, 富士达, 西部超导
  - 歌尔股份: 寒武纪, 富临精工, 紫光股份
  - 华勤技术: 机器人, 秦川机床, 恒而达
  - 信维通信: 斯瑞新材, 中航高科, 神州信息
  - 大族激光: 中瓷电子, 澜起科技, 华工科技
  - 中石科技: 麦格米特, 铂科新材, 大族激光
  - 胜宏科技: 东山精密, 沪电股份, 新易盛
  - 生益科技: 沪电股份, 中际旭创, 工业富联
  - 沪电股份: 生益科技, 中际旭创, 胜宏科技
  - 东山精密: 胜宏科技, 新易盛, 沪电股份
  - 海康威视: 片仔癀, 国泰海通, 万科A
  - 科大讯飞: 拓维信息, 中科创达, 金山办公
  - 蓝色光标: 国博电子, 安泰科技, 润泽科技
  - 昆仑万维: 并行科技, 汉得信息, 广和通
  - 拓尔思: 润泽科技, 安泰科技, 蓝色光标
  - 金山办公: 中科创达, 汉得信息, 拓维信息
  - 中科创达: 金山办公, 拓维信息, 科大讯飞
  - 汉得信息: 金山办公, 昆仑万维, 安泰科技
  - 开普云: 兆易创新, 纬德信息, 铂科新材
  - 并行科技: 广和通, 昆仑万维, 西部超导
  - 中科曙光: 海光信息, 景嘉微, 高德红外
  - 英维克: 腾景科技, 光库科技, 天孚通信
  - 润泽科技: 拓尔思, 安泰科技, 蓝色光标
  - 紫光股份: 寒武纪, 富临精工, 中信海直
  - 东华软件: 润和软件, 拓尔思, 烽火通信
  - 拓维信息: 科大讯飞, 中科创达, 中信海直
  - 星环科技: 国博电子, 蓝色光标, 并行科技
  - 中国核电: 宁德时代, 中国船舶, 永悦科技
  - 上海电气: 永悦科技, 埃斯顿, 中国核电
  - 西部超导: 蓝思科技, 并行科技, 广和通
  - 斯瑞新材: 信维通信, 乾照光电, 中国卫通
  - 安泰科技: 润泽科技, 蓝色光标, 拓尔思
  - 麦格米特: 厦门钨业, 中石科技, 铂科新材
  - 特变电工: 中国西电, 立讯精密, 赛力斯
  - 中国西电: 特变电工, 立讯精密, 赛力斯
  - 金风科技: 航天电子, 雷科防务, 北斗星通
  - 隆基绿能: 中来股份, 东方日升, 天合光能
  - 阳光电源: 聚和材料, 帝科股份, 先导智能
  - 正泰电源: 中天科技, 长飞光纤, 岱美股份
  - 天合光能: 高测股份, 捷佳伟创, 迈为科技
  - 晶科能源: 晶盛机电, 中来股份, 捷佳伟创
  - 迈为科技: 天合光能, 高测股份, 东方日升
  - 国晟科技: 烽火通信, 南山智尚, 国盾量子
  - 捷佳伟创: 晶盛机电, 高测股份, 天合光能
  - 乾照光电: 蓝思科技, 航天电子, 斯瑞新材
  - 东方日升: 迈为科技, 天合光能, 高测股份
  - 帝科股份: 阳光电源, 亿纬锂能, 聚和材料
  - 聚和材料: 阳光电源, 帝科股份, 先导智能
  - TCL中环: 中来股份, 隆基绿能, 晶科能源
  - 高测股份: 天合光能, 捷佳伟创, 晶盛机电
  - 晶盛机电: 捷佳伟创, 晶科能源, 高测股份
  - 协鑫能科: 江丰电子, 岱美股份, 正泰电源
  - 掌阅科技: 电科网安, 中科创达, 拓维信息
  - 润和软件: 东华软件, 国盾量子, 烽火通信
  - 中来股份: 隆基绿能, 晶科能源, 晶盛机电
  - 宁德时代: 中国核电, 格力电器, 云南白药
  - 富临精工: 万丰奥威, 紫光股份, 中信海直
  - 盛弘股份: 三花智控, 恒辉安防, 柯力传感
  - 亿纬锂能: 先导智能, 绿的谐波, 恒而达
  - 先导智能: 亿纬锂能, 阳光电源, 恒而达
